,Title_of_Video,Published_date,Views,Likes,Month
0,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,6702,369,Jan
1,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,5591,179,Jan
2,150k Subscriber Livestream!!,2022-01-10,2817,154,Jan
3,How To Become A Data Analyst In 2022,2022-01-04,80593,4697,Jan
4,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,8700,288,Dec
5,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,8983,358,Dec
6,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,15226,619,Dec
7,Tableau Tutorial for Beginners | Full Project | Part 5/5,2021-12-07,11341,297,Dec
8,Tableau Tutorial for Beginners | Joins | Part 4/5,2021-11-23,7219,240,Nov
9,Top 5 Major Red Flags in Job Descriptions,2021-11-18,10098,601,Nov
10,Truth About My Job (Song) - As a Data Analyst,2021-11-08,7485,704,Nov
11,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,9641,299,Oct
12,Choosing a Domain to Make More Money,2021-10-19,10874,573,Oct
13,Tableau Tutorial for Beginners | Density Maps | Bar and Line Graphs | More Visualizations | Part 3/5,2021-10-05,10777,370,Oct
14,Tableau Tutorial for Beginners | Calculated Fields | Bins | Part 2/5,2021-09-28,10570,384,Sep
15,Tableau Tutorial for Beginners | Installing Tableau | Building First Visualization | Part 1/5,2021-09-21,35699,1280,Sep
16,How NOT to Become a Data Analyst (Funny?),2021-09-07,14478,639,Sep
17,100k Subscriber Play Button Unboxing,2021-08-31,2444,233,Aug
18,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,32435,1206,Aug
19,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,49932,1446,Aug
20,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4593,190,Aug
21,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,99212,3502,Aug
22,When To Start Applying To Your First Data Analyst Job,2021-07-21,30317,1985,Jul
23,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,120990,5248,Jul
24,How to Create a Portfolio Website for FREE,2021-06-29,41211,1629,Jun
25,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,33601,933,Jun
26,How To Get a Data Analyst Job (with No Experience),2021-06-08,185767,9234,Jun
27,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,5011,204,Jun
28,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,14121,547,Jun
29,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,55466,1681,May
30,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,84773,1831,May
31,Asking My Family What I Do For a Living,2021-05-11,3318,182,May
32,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,323776,8596,May
33,Advanced SQL Tutorial | Subqueries,2021-04-20,42398,1369,Apr
34,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,16088,635,Apr
35,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,121486,5041,Apr
36,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,16523,639,Apr
37,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,55660,1557,Mar
38,Best Machine Learning Courses on Coursera,2021-03-23,15513,646,Mar
39,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,11576,381,Mar
40,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,40934,1061,Mar
41,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,234059,8128,Mar
42,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,49625,2345,Mar
43,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,11902,345,Mar
44,Best Course to Learn Statistics for Data Analysis,2021-02-25,24350,966,Feb
45,DataQuest Review | Is it Worth it?,2021-02-23,9917,236,Feb
46,R vs Python | Which is Better for Data Analysis?,2021-02-16,82212,2225,Feb
47,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,17324,545,Feb
48,Advanced SQL Tutorial | Temp Tables,2021-02-02,27447,781,Feb
49,IBM Data Analyst Certificate Study Session,2021-01-30,4603,170,Jan
50,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,51385,1643,Jan
51,DataCamp Review | Is it Worth it?,2021-01-21,60808,1543,Jan
52,Best Python Course for Data Analysts,2021-01-19,20145,777,Jan
53,Top 5 Data Analyst Skills,2021-01-12,15605,905,Jan
54,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,9018,331,Jan
55,Top 5 Data Analyst Interview Mistakes,2021-01-05,11917,477,Jan
56,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1471,143,Dec
57,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,17985,622,Dec
58,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,5546,137,Dec
